,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN,,
2030-01-01 00:00:00,0.6362,0.445681818,0.566636364,0.357615385,0.579277778,,
2030-01-01 01:00:00,0.601,0.434,0.534454545,0.319692308,0.5405,,
2030-01-01 02:00:00,0.5703,0.423818182,0.503545455,0.293307692,0.495638889,,
2030-01-01 03:00:00,0.5247,0.4,0.465545455,0.261307692,0.431638889,,
2030-01-01 04:00:00,0.4628,0.346318182,0.402454545,0.206538462,0.339111111,,
2030-01-01 05:00:00,0.2941,0.1675,0.186272727,0.139461538,0.164888889,,
2030-01-01 06:00:00,0.2512,0.0735,0.109363636,0.107384615,0.2135,,
2030-01-01 07:00:00,0.404,0.104636364,0.202636364,0.058538462,0.269388889,,
2030-01-01 08:00:00,0.3608,0.0405,0.089272727,0.021461538,0.145111111,,
2030-01-01 09:00:00,0.2254,0.019318182,0.021181818,0.009153846,0.05275,,
2030-01-01 10:00:00,0.1095,0.0225,0.003090909,0.009384615,0.016638889,,
2030-01-01 11:00:00,0.0505,0.030727273,0.000272727,0.015923077,0.005888889,,
2030-01-01 12:00:00,0.0304,0.048,0.002909091,0.030769231,0.003388889,,
2030-01-01 13:00:00,0.0301,0.075090909,0.012909091,0.059692308,0.004166667,,
2030-01-01 14:00:00,0.0591,0.135954545,0.060181818,0.136230769,0.013611111,,
2030-01-01 15:00:00,0.1963,0.288,0.251909091,0.227461538,0.079611111,,
2030-01-01 16:00:00,0.3908,0.431636364,0.494636364,0.289,0.203472222,,
2030-01-01 17:00:00,0.5086,0.520363636,0.651727273,0.345307692,0.334138889,,
2030-01-01 18:00:00,0.5642,0.560772727,0.715727273,0.389538462,0.430666667,,
2030-01-01 19:00:00,0.5967,0.556909091,0.717,0.429923077,0.496166667,,
2030-01-01 20:00:00,0.6164,0.533136364,0.688909091,0.446384615,0.553361111,,
2030-01-01 21:00:00,0.6131,0.503727273,0.648545455,0.438461538,0.590138889,,
2030-01-01 22:00:00,0.5871,0.471954545,0.603818182,0.423,0.598138889,,
2030-01-01 23:00:00,0.5491,0.443136364,0.561545455,0.405538462,0.5895,,
2030-01-02 00:00:00,0.5102,0.424227273,0.521,0.385461538,0.565222222,,
2030-01-02 01:00:00,0.4731,0.406090909,0.478818182,0.351153846,0.513083333,,
2030-01-02 02:00:00,0.4458,0.387181818,0.437,0.308076923,0.461916667,,
2030-01-02 03:00:00,0.423,0.37,0.395454545,0.274769231,0.409833333,,
2030-01-02 04:00:00,0.3977,0.337909091,0.338818182,0.224692308,0.332194444,,
2030-01-02 05:00:00,0.2668,0.177818182,0.158090909,0.142538462,0.186944444,,
2030-01-02 06:00:00,0.2215,0.095545455,0.108181818,0.124153846,0.268138889,,
2030-01-02 07:00:00,0.3115,0.179227273,0.201363636,0.098846154,0.315138889,,
2030-01-02 08:00:00,0.2711,0.1345,0.119181818,0.050461538,0.221,,
2030-01-02 09:00:00,0.1637,0.104136364,0.052363636,0.023,0.113333333,,
2030-01-02 10:00:00,0.0939,0.116181818,0.031272727,0.016307692,0.04775,,
2030-01-02 11:00:00,0.058,0.155590909,0.033181818,0.021230769,0.019833333,,
2030-01-02 12:00:00,0.0466,0.200363636,0.056090909,0.032692308,0.012611111,,
2030-01-02 13:00:00,0.0498,0.245545455,0.113909091,0.068461538,0.016277778,,
2030-01-02 14:00:00,0.0755,0.3315,0.267181818,0.143307692,0.044611111,,
2030-01-02 15:00:00,0.1857,0.531818182,0.636727273,0.242538462,0.182305556,,
2030-01-02 16:00:00,0.3527,0.660090909,0.811181818,0.287230769,0.368722222,,
2030-01-02 17:00:00,0.4995,0.697818182,0.826909091,0.365153846,0.496972222,,
2030-01-02 18:00:00,0.6119,0.698818182,0.811727273,0.456307692,0.577416667,,
2030-01-02 19:00:00,0.6678,0.682454545,0.781181818,0.504846154,0.644805556,,
2030-01-02 20:00:00,0.6872,0.662136364,0.753181818,0.523384615,0.697583333,,
2030-01-02 21:00:00,0.6809,0.646727273,0.733272727,0.522692308,0.722833333,,
2030-01-02 22:00:00,0.6528,0.637818182,0.720545455,0.525615385,0.733888889,,
2030-01-02 23:00:00,0.6386,0.631090909,0.713181818,0.532230769,0.730166667,,
2030-01-03 00:00:00,0.6342,0.621181818,0.709545455,0.556461538,0.724138889,,
2030-01-03 01:00:00,0.6341,0.603954545,0.703090909,0.559461538,0.709944444,,
2030-01-03 02:00:00,0.6405,0.582363636,0.690909091,0.542538462,0.698333333,,
2030-01-03 03:00:00,0.6348,0.559909091,0.676818182,0.516923077,0.671277778,,
