,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN,,
2030-01-01 00:00:00,0,0,0,0,0,,
2030-01-01 01:00:00,0,0,0,0,0,,
2030-01-01 02:00:00,0,0,0,0,0,,
2030-01-01 03:00:00,0,0,0,0,0,,
2030-01-01 04:00:00,0,0,0,0,0,,
2030-01-01 05:00:00,0,0,0,0,0,,
2030-01-01 06:00:00,0.0148,0.018545455,0.032363636,0.068533333,0.055,,
2030-01-01 07:00:00,0.1809,0.220045455,0.269090909,0.280466667,0.288888889,,
2030-01-01 08:00:00,0.3536,0.441136364,0.477909091,0.4758,0.486861111,,
2030-01-01 09:00:00,0.5157,0.593590909,0.619363636,0.614933333,0.622194444,,
2030-01-01 10:00:00,0.6276,0.677727273,0.703454545,0.689466667,0.701444444,,
2030-01-01 11:00:00,0.7068,0.718318182,0.736181818,0.715533333,0.734555556,,
2030-01-01 12:00:00,0.7223,0.696227273,0.720090909,0.692733333,0.718472222,,
2030-01-01 13:00:00,0.6745,0.611681818,0.656090909,0.624933333,0.657,,
2030-01-01 14:00:00,0.5671,0.4835,0.543363636,0.506266667,0.544444444,,
2030-01-01 15:00:00,0.4071,0.332136364,0.378727273,0.334466667,0.382638889,,
2030-01-01 16:00:00,0.2019,0.132,0.161818182,0.116333333,0.170861111,,
2030-01-01 17:00:00,0.0186,0.000636364,0.001363636,0,0.002611111,,
2030-01-01 18:00:00,0,0,0,0,0,,
2030-01-01 19:00:00,0,0,0,0,0,,
2030-01-01 20:00:00,0,0,0,0,0,,
2030-01-01 21:00:00,0,0,0,0,0,,
2030-01-01 22:00:00,0,0,0,0,0,,
2030-01-01 23:00:00,0,0,0,0,0,,
2030-01-02 00:00:00,0,0,0,0,0,,
2030-01-02 01:00:00,0,0,0,0,0,,
2030-01-02 02:00:00,0,0,0,0,0,,
2030-01-02 03:00:00,0,0,0,0,0,,
2030-01-02 04:00:00,0,0,0,0,0,,
2030-01-02 05:00:00,0,0,0,0,0,,
2030-01-02 06:00:00,0.0084,0.021454545,0.033,0.068,0.045777778,,
2030-01-02 07:00:00,0.1362,0.242045455,0.272363636,0.2848,0.258555556,,
2030-01-02 08:00:00,0.2799,0.443772727,0.480454545,0.475533333,0.454888889,,
2030-01-02 09:00:00,0.4123,0.596909091,0.621090909,0.617666667,0.597555556,,
2030-01-02 10:00:00,0.5033,0.699090909,0.703272727,0.6916,0.681888889,,
2030-01-02 11:00:00,0.5478,0.736909091,0.733545455,0.7114,0.711083333,,
2030-01-02 12:00:00,0.5693,0.723136364,0.719090909,0.686933333,0.698333333,,
2030-01-02 13:00:00,0.5497,0.653772727,0.658363636,0.6148,0.637805556,,
2030-01-02 14:00:00,0.4901,0.531954545,0.547,0.493066667,0.530694444,,
2030-01-02 15:00:00,0.3687,0.370772727,0.382818182,0.321666667,0.371583333,,
2030-01-02 16:00:00,0.1874,0.148818182,0.165,0.109066667,0.163694444,,
2030-01-02 17:00:00,0.0197,0.000772727,0.001272727,0,0.0025,,
2030-01-02 18:00:00,0,0,0,0,0,,
2030-01-02 19:00:00,0,0,0,0,0,,
2030-01-02 20:00:00,0,0,0,0,0,,
2030-01-02 21:00:00,0,0,0,0,0,,
2030-01-02 22:00:00,0,0,0,0,0,,
2030-01-02 23:00:00,0,0,0,0,0,,
2030-01-03 00:00:00,0,0,0,0,0,,
2030-01-03 01:00:00,0,0,0,0,0,,
2030-01-03 02:00:00,0,0,0,0,0,,
2030-01-03 03:00:00,0,0,0,0,0,,
2030-01-03 04:00:00,0,0,0,0,0,,
2030-01-03 05:00:00,0,0,0,0,0,,
2030-01-03 06:00:00,0.0073,0.017318182,0.025909091,0.0666,0.045305556,,
2030-01-03 07:00:00,0.1287,0.234136364,0.248363636,0.272466667,0.260305556,,
2030-01-03 08:00:00,0.3365,0.4495,0.461545455,0.4544,0.459611111,,
2030-01-03 09:00:00,0.5313,0.599909091,0.609363636,0.5826,0.60925,,
2030-01-03 10:00:00,0.6398,0.692181818,0.697090909,0.658333333,0.692138889,,
2030-01-03 11:00:00,0.6967,0.729772727,0.738,0.689133333,0.730166667,,
2030-01-03 12:00:00,0.698,0.715409091,0.720272727,0.666533333,0.709416667,,
2030-01-03 13:00:00,0.6441,0.650545455,0.653363636,0.597133333,0.641055556,,
2030-01-03 14:00:00,0.5462,0.532181818,0.533909091,0.478666667,0.512194444,,
2030-01-03 15:00:00,0.3882,0.354454545,0.359818182,0.3072,0.345666667,,
2030-01-03 16:00:00,0.1865,0.131,0.138636364,0.101266667,0.138388889,,
2030-01-03 17:00:00,0.0174,0.000545455,0.000636364,0,0.001305556,,
2030-01-03 18:00:00,0,0,0,0,0,,
2030-01-03 19:00:00,0,0,0,0,0,,
2030-01-03 20:00:00,0,0,0,0,0,,
2030-01-03 21:00:00,0,0,0,0,0,,
2030-01-03 22:00:00,0,0,0,0,0,,
2030-01-03 23:00:00,0,0,0,0,0,,
2030-01-04 00:00:00,0,0,0,0,0,,
2030-01-04 01:00:00,0,0,0,0,0,,
2030-01-04 02:00:00,0,0,0,0,0,,
2030-01-04 03:00:00,0,0,0,0,0,,
2030-01-04 04:00:00,0,0,0,0,0,,
2030-01-04 05:00:00,0,0,0,0,0,,
2030-01-04 06:00:00,0.0106,0.015181818,0.021545455,0.063866667,0.040638889,,
2030-01-04 07:00:00,0.1714,0.212090909,0.210363636,0.269666667,0.250944444,,
2030-01-04 08:00:00,0.3793,0.421318182,0.417727273,0.450533333,0.450416667,,
2030-01-04 09:00:00,0.5429,0.578863636,0.574363636,0.575,0.590833333,,
2030-01-04 10:00:00,0.643,0.677363636,0.674090909,0.657666667,0.673694444,,
2030-01-04 11:00:00,0.6856,0.718272727,0.730636364,0.684733333,0.710083333,,
2030-01-04 12:00:00,0.6622,0.702090909,0.709909091,0.666666667,0.688083333,,
2030-01-04 13:00:00,0.603,0.634909091,0.637090909,0.600133333,0.614833333,,
2030-01-04 14:00:00,0.5055,0.513954545,0.516909091,0.478466667,0.494388889,,
2030-01-04 15:00:00,0.363,0.334136364,0.331818182,0.312533333,0.323194444,,
2030-01-04 16:00:00,0.1751,0.115363636,0.12,0.104266667,0.127194444,,
2030-01-04 17:00:00,0.0152,0.000454545,0.000545455,0,0.001527778,,
2030-01-04 18:00:00,0,0,0,0,0,,
2030-01-04 19:00:00,0,0,0,0,0,,
2030-01-04 20:00:00,0,0,0,0,0,,
2030-01-04 21:00:00,0,0,0,0,0,,
2030-01-04 22:00:00,0,0,0,0,0,,
2030-01-04 23:00:00,0,0,0,0,0,,
2030-01-05 00:00:00,0,0,0,0,0,,
2030-01-05 01:00:00,0,0,0,0,0,,
2030-01-05 02:00:00,0,0,0,0,0,,
2030-01-05 03:00:00,0,0,0,0,0,,
2030-01-05 04:00:00,0,0,0,0,0,,
2030-01-05 05:00:00,0,0,0,0,0,,
2030-01-05 06:00:00,0.0123,0.017136364,0.024454545,0.0848,0.037777778,,
2030-01-05 07:00:00,0.1846,0.221454545,0.234909091,0.3084,0.249333333,,
