,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN
2015-01-01 00:00:00,0,0,0,0,0
2015-01-01 01:00:00,0,0,0,0,0
2015-01-01 02:00:00,0,0,0,0,0
2015-01-01 03:00:00,0,0,0,0,0
2015-01-01 04:00:00,0.007478261,0.009565217,0.033,0.049588235,0.064444444
2015-01-01 05:00:00,0.165869565,0.179782609,0.27,0.257470588,0.295555556
2015-01-01 06:00:00,0.383304348,0.403521739,0.478,0.455647059,0.49
2015-01-01 07:00:00,0.556456522,0.57326087,0.6195,0.595117647,0.622888889
2015-01-01 08:00:00,0.664565217,0.674652174,0.703,0.669411765,0.700555556
2015-01-01 09:00:00,0.718434783,0.716217391,0.7355,0.698764706,0.732666667
2015-01-01 10:00:00,0.724173913,0.706695652,0.719,0.680823529,0.715888889
2015-01-01 11:00:00,0.682304348,0.640695652,0.655,0.616882353,0.654666667
2015-01-01 12:00:00,0.589565217,0.519956522,0.542,0.500058824,0.542333333
2015-01-01 13:00:00,0.438804348,0.35226087,0.377,0.323764706,0.380444444
2015-01-01 14:00:00,0.240630435,0.148913043,0.16,0.104,0.168888889
2015-01-01 15:00:00,0.044847826,0.005086957,0.001,0,0.002333333
2015-01-01 16:00:00,0,0,0,0,0
2015-01-01 17:00:00,0,0,0,0,0
2015-01-01 18:00:00,0,0,0,0,0
2015-01-01 19:00:00,0,0,0,0,0
2015-01-01 20:00:00,0,0,0,0,0
2015-01-01 21:00:00,0,0,0,0,0
2015-01-01 22:00:00,0,0,0,0,0
2015-01-01 23:00:00,0,0,0,0,0
2015-01-02 00:00:00,0,0,0,0,0
2015-01-02 01:00:00,0,0,0,0,0
2015-01-02 02:00:00,0,0,0,0,0
2015-01-02 03:00:00,0,0,0,0,0
2015-01-02 04:00:00,0.004543478,0.011086957,0.034,0.051823529,0.053222222
2015-01-02 05:00:00,0.160369565,0.194173913,0.2755,0.271058824,0.268333333
2015-01-02 06:00:00,0.380652174,0.414304348,0.4825,0.479117647,0.461333333
2015-01-02 07:00:00,0.543391304,0.578,0.622,0.614,0.595333333
2015-01-02 08:00:00,0.640913043,0.684869565,0.7035,0.689117647,0.674444444
2015-01-02 09:00:00,0.691521739,0.734956522,0.734,0.710235294,0.705555556
2015-01-02 10:00:00,0.704086957,0.727652174,0.7185,0.687764706,0.698444444
2015-01-02 11:00:00,0.667978261,0.665217391,0.658,0.616529412,0.639888889
2015-01-02 12:00:00,0.578347826,0.549217391,0.5465,0.492176471,0.531222222
2015-01-02 13:00:00,0.434478261,0.378434783,0.3825,0.316705882,0.369333333
2015-01-02 14:00:00,0.237456522,0.160217391,0.1645,0.101058824,0.160444444
2015-01-02 15:00:00,0.041652174,0.004782609,0.001,0,0.002222222
2015-01-02 16:00:00,0,0,0,0,0
2015-01-02 17:00:00,0,0,0,0,0
2015-01-02 18:00:00,0,0,0,0,0
2015-01-02 19:00:00,0,0,0,0,0
2015-01-02 20:00:00,0,0,0,0,0
2015-01-02 21:00:00,0,0,0,0,0
2015-01-02 22:00:00,0,0,0,0,0
2015-01-02 23:00:00,0,0,0,0,0
2015-01-03 00:00:00,0,0,0,0,0
2015-01-03 01:00:00,0,0,0,0,0
2015-01-03 02:00:00,0,0,0,0,0
2015-01-03 03:00:00,0,0,0,0,0
2015-01-03 04:00:00,0.004326087,0.009130435,0.0265,0.048588235,0.052222222
2015-01-03 05:00:00,0.14776087,0.193608696,0.2505,0.258705882,0.268444444
2015-01-03 06:00:00,0.364586957,0.422565217,0.4625,0.452705882,0.458888889
2015-01-03 07:00:00,0.538086957,0.587782609,0.61,0.589823529,0.591
2015-01-03 08:00:00,0.650978261,0.691086957,0.697,0.666,0.668111111
2015-01-03 09:00:00,0.713956522,0.738086957,0.738,0.697529412,0.699777778
2015-01-03 10:00:00,0.724478261,0.731608696,0.72,0.673647059,0.680555556
2015-01-03 11:00:00,0.679913043,0.672913043,0.6525,0.599294118,0.615111111
2015-01-03 12:00:00,0.587217391,0.560217391,0.533,0.476058824,0.493222222
2015-01-03 13:00:00,0.439586957,0.388521739,0.3585,0.298588235,0.328444444
2015-01-03 14:00:00,0.242152174,0.165521739,0.1375,0.090176471,0.130444444
2015-01-03 15:00:00,0.045543478,0.006391304,0.0005,0,0.001222222
2015-01-03 16:00:00,0,0,0,0,0
2015-01-03 17:00:00,0,0,0,0,0
2015-01-03 18:00:00,0,0,0,0,0
2015-01-03 19:00:00,0,0,0,0,0
2015-01-03 20:00:00,0,0,0,0,0
2015-01-03 21:00:00,0,0,0,0,0
2015-01-03 22:00:00,0,0,0,0,0
2015-01-03 23:00:00,0,0,0,0,0
2015-01-04 00:00:00,0,0,0,0,0
2015-01-04 01:00:00,0,0,0,0,0
2015-01-04 02:00:00,0,0,0,0,0
2015-01-04 03:00:00,0,0,0,0,0
2015-01-04 04:00:00,0.004695652,0.008130435,0.0225,0.041882353,0.048555556
2015-01-04 05:00:00,0.158673913,0.19726087,0.211,0.241470588,0.262222222
2015-01-04 06:00:00,0.379086957,0.423565217,0.417,0.425823529,0.459777778
2015-01-04 07:00:00,0.547391304,0.590782609,0.574,0.563470588,0.594
2015-01-04 08:00:00,0.656934783,0.69726087,0.6745,0.653,0.672222222
2015-01-04 09:00:00,0.711869565,0.746391304,0.732,0.681941176,0.696444444
2015-01-04 10:00:00,0.713913043,0.739,0.71,0.656,0.675333333
2015-01-04 11:00:00,0.665021739,0.678434783,0.638,0.581352941,0.601444444
