,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN
2015-01-01 00:00:00,-692090.0541,-135288.34,-437028.9162,-332841.9726,-517809.7348
2015-01-01 01:00:00,-710948.5028,-138974.7508,-448937.3193,-341911.4328,-531919.2979
2015-01-01 02:00:00,-764693.7279,-149480.7568,-482875.4136,-367758.7437,-572130.5401
2015-01-01 03:00:00,-842012.6292,-164594.8966,-531699.4003,-404943.1758,-629979.1965
2015-01-01 04:00:00,-926873.1872,-181183.2639,-585285.6605,-445754.5635,-693470.3893
2015-01-01 05:00:00,-1003248.305,-196112.9148,-633513.6832,-482485.1083,-750612.9231
2015-01-01 06:00:00,-1061708.757,-207540.6438,-670429.2667,-510600.0801,-794352.0164
2015-01-01 07:00:00,-1096595.534,-214360.2391,-692458.9578,-527377.9306,-820453.6955
2015-01-01 08:00:00,-1107911.095,-216572.1817,-699604.3105,-532819.8435,-828919.8016
2015-01-01 09:00:00,-1103195.868,-215650.4588,-696626.8212,-530552.1826,-825391.9505
2015-01-01 10:00:00,-1090937.753,-213254.2677,-688886.2815,-524656.9742,-816220.6424
2015-01-01 11:00:00,-1081509.759,-211411.3029,-682932.8569,-520122.8358,-809166.7815
2015-01-01 12:00:00,-1081509.759,-211411.3029,-682932.8569,-520122.8358,-809166.7815
2015-01-01 13:00:00,-1094710.427,-213991.7423,-691268.5837,-526471.3397,-819043.2916
2015-01-01 14:00:00,-1115453.982,-218046.6498,-704367.361,-536447.3909,-834563.2586
2015-01-01 15:00:00,-1154112.203,-225603.4792,-728778.5773,-555039.0152,-863486.6662
2015-01-01 16:00:00,-1353068.467,-264495.0404,-854411.9975,-650721.6436,-1012342.281
2015-01-01 17:00:00,-1578419.915,-308546.2778,-996712.9862,-759098.3208,-1180946.313
2015-01-01 18:00:00,-1609538.939,-314629.3607,-1016363.483,-774064.173,-1204229.025
2015-01-01 19:00:00,-1383240.016,-270392.9128,-873464.1993,-665231.8332,-1034916.109
2015-01-01 20:00:00,-1046621.752,-204591.467,-660902.3888,-503344.3935,-783064.1818
2015-01-01 21:00:00,-838239.9551,-163857.422,-529317.0981,-403128.8103,-627156.5474
2015-01-01 22:00:00,-755264.5036,-147637.5515,-476921.212,-363224.0135,-565075.7586
2015-01-01 23:00:00,-700576.7252,-136947.297,-442387.9307,-336923.4072,-524159.3144
2015-01-02 00:00:00,-679833.1699,-132892.3895,-429289.1534,-326947.356,-508639.3473
2015-01-02 01:00:00,-699634.1719,-136763.0487,-441792.7436,-336470.1117,-523454.1124
2015-01-02 02:00:00,-753379.397,-147269.0547,-475730.8379,-362317.4226,-563665.3546
2015-01-02 03:00:00,-831639.6211,-162567.2023,-525149.2347,-399954.5584,-622218.2924
2015-01-02 04:00:00,-917443.9629,-179340.0585,-579331.4589,-441219.8333,-686415.6077
2015-01-02 05:00:00,-994761.6336,-194453.9578,-628154.6686,-478403.6736,-744263.3435
2015-01-02 06:00:00,-1053222.086,-205881.6868,-665070.2522,-506518.6454,-788002.4368
2015-01-02 07:00:00,-1088110.093,-212701.5226,-687100.7203,-523297.0878,-814105.0365
2015-01-02 08:00:00,-1100366.977,-215097.4731,-694840.4831,-529191.7043,-823275.424
2015-01-02 09:00:00,-1094710.427,-213991.7423,-691268.5837,-526471.3397,-819043.2916
