,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN
2015-01-01 00:00:00,0.496173913,0.510869565,0.567,0.343823529,0.481
2015-01-01 01:00:00,0.489304348,0.489782609,0.533,0.325117647,0.45
2015-01-01 02:00:00,0.476152174,0.464,0.499,0.298823529,0.414666667
2015-01-01 03:00:00,0.459108696,0.431391304,0.4605,0.257117647,0.360555556
2015-01-01 04:00:00,0.437565217,0.386478261,0.3965,0.202823529,0.281444444
2015-01-01 05:00:00,0.31876087,0.245304348,0.179,0.135941176,0.140222222
2015-01-01 06:00:00,0.207956522,0.109608696,0.1245,0.085588235,0.187111111
2015-01-01 07:00:00,0.276021739,0.159130435,0.1905,0.035470588,0.222555556
2015-01-01 08:00:00,0.231152174,0.121478261,0.081,0.007588235,0.121555556
2015-01-01 09:00:00,0.131869565,0.047043478,0.016,0.002647059,0.048555556
2015-01-01 10:00:00,0.071304348,0.017869565,0.0015,0.005705882,0.020111111
2015-01-01 11:00:00,0.049978261,0.008869565,0,0.012235294,0.012111111
2015-01-01 12:00:00,0.045695652,0.01126087,0.002,0.030294118,0.013111111
2015-01-01 13:00:00,0.047347826,0.022913043,0.013,0.046705882,0.019555556
2015-01-01 14:00:00,0.055195652,0.061869565,0.061,0.103411765,0.045555556
2015-01-01 15:00:00,0.109956522,0.167391304,0.257,0.207176471,0.155444444
2015-01-01 16:00:00,0.203086957,0.282391304,0.507,0.286470588,0.279888889
2015-01-01 17:00:00,0.284,0.365434783,0.6655,0.334117647,0.354888889
2015-01-01 18:00:00,0.345065217,0.412521739,0.723,0.351058824,0.403111111
2015-01-01 19:00:00,0.388456522,0.431304348,0.7185,0.351235294,0.445111111
2015-01-01 20:00:00,0.410391304,0.432695652,0.6875,0.344647059,0.473333333
2015-01-01 21:00:00,0.410304348,0.429,0.647,0.330764706,0.482666667
2015-01-01 22:00:00,0.396543478,0.42526087,0.606,0.310764706,0.478777778
2015-01-01 23:00:00,0.383217391,0.430347826,0.566,0.292823529,0.464444444
2015-01-02 00:00:00,0.381173913,0.444043478,0.528,0.276294118,0.437888889
2015-01-02 01:00:00,0.384521739,0.456173913,0.4875,0.260647059,0.393444444
2015-01-02 02:00:00,0.383652174,0.448869565,0.4485,0.241941176,0.353777778
2015-01-02 03:00:00,0.373108696,0.430956522,0.412,0.221117647,0.320111111
2015-01-02 04:00:00,0.361934783,0.40326087,0.3575,0.185117647,0.277777778
2015-01-02 05:00:00,0.277043478,0.266521739,0.168,0.111294118,0.172777778
2015-01-02 06:00:00,0.197217391,0.156173913,0.124,0.090294118,0.244888889
2015-01-02 07:00:00,0.236913043,0.244913043,0.2035,0.066588235,0.292555556
2015-01-02 08:00:00,0.204521739,0.210782609,0.1165,0.029529412,0.214888889
2015-01-02 09:00:00,0.131543478,0.144956522,0.0425,0.015235294,0.124444444
2015-01-02 10:00:00,0.083391304,0.112695652,0.025,0.013941176,0.067222222
2015-01-02 11:00:00,0.06123913,0.114826087,0.027,0.023117647,0.042222222
2015-01-02 12:00:00,0.06076087,0.143826087,0.0455,0.042058824,0.038222222
2015-01-02 13:00:00,0.077043478,0.193956522,0.101,0.082470588,0.048333333
2015-01-02 14:00:00,0.11973913,0.273217391,0.2555,0.158764706,0.09
2015-01-02 15:00:00,0.263565217,0.452347826,0.6415,0.304941176,0.246111111
2015-01-02 16:00:00,0.447586957,0.599478261,0.8165,0.420411765,0.396777778
2015-01-02 17:00:00,0.545326087,0.654608696,0.831,0.482470588,0.467222222
2015-01-02 18:00:00,0.58573913,0.665521739,0.8165,0.509470588,0.527666667
2015-01-02 19:00:00,0.599673913,0.661869565,0.79,0.523941176,0.561444444
2015-01-02 20:00:00,0.61023913,0.658869565,0.7535,0.525411765,0.57
2015-01-02 21:00:00,0.620586957,0.658173913,0.727,0.517941176,0.577444444
2015-01-02 22:00:00,0.634217391,0.652521739,0.713,0.511647059,0.600777778
2015-01-02 23:00:00,0.650565217,0.643043478,0.7055,0.509882353,0.606444444
2015-01-03 00:00:00,0.661521739,0.630565217,0.704,0.511058824,0.594
2015-01-03 01:00:00,0.666173913,0.610913043,0.6995,0.512058824,0.581444444
2015-01-03 02:00:00,0.665326087,0.587434783,0.6915,0.500470588,0.576555556
2015-01-03 03:00:00,0.659173913,0.56326087,0.6835,0.481176471,0.57
2015-01-03 04:00:00,0.649152174,0.535478261,0.6645,0.439764706,0.53
2015-01-03 05:00:00,0.692304348,0.472304348,0.7985,0.424,0.661555556
2015-01-03 06:00:00,0.8155,0.618869565,0.8845,0.426470588,0.737666667
2015-01-03 07:00:00,0.82423913,0.713782609,0.8605,0.360058824,0.673333333
2015-01-03 08:00:00,0.738434783,0.619434783,0.7855,0.282705882,0.564111111
2015-01-03 09:00:00,0.63323913,0.494,0.6765,0.213352941,0.465666667
2015-01-03 10:00:00,0.546282609,0.408521739,0.5845,0.173588235,0.416111111
2015-01-03 11:00:00,0.479673913,0.379347826,0.533,0.171705882,0.407777778
2015-01-03 12:00:00,0.441413043,0.39326087,0.5135,0.210058824,0.423555556
2015-01-03 13:00:00,0.427913043,0.433304348,0.5265,0.300117647,0.448111111
2015-01-03 14:00:00,0.432695652,0.475782609,0.551,0.430411765,0.447222222
2015-01-03 15:00:00,0.472673913,0.542652174,0.637,0.599823529,0.486111111
2015-01-03 16:00:00,0.587130435,0.619,0.7375,0.664705882,0.552888889
2015-01-03 17:00:00,0.63326087,0.632608696,0.745,0.666176471,0.585777778
2015-01-03 18:00:00,0.644,0.626217391,0.7395,0.639235294,0.623111111
2015-01-03 19:00:00,0.643282609,0.614869565,0.7465,0.611529412,0.668888889
2015-01-03 20:00:00,0.642195652,0.602217391,0.755,0.593529412,0.690666667
2015-01-03 21:00:00,0.641021739,0.587347826,0.7555,0.590117647,0.691777778
2015-01-03 22:00:00,0.639108696,0.574521739,0.7535,0.598058824,0.693555556
2015-01-03 23:00:00,0.637695652,0.564869565,0.7425,0.601294118,0.697666667
2015-01-04 00:00:00,0.629521739,0.556304348,0.7155,0.599705882,0.699888889
2015-01-04 01:00:00,0.617652174,0.54226087,0.68,0.583235294,0.690888889
2015-01-04 02:00:00,0.60476087,0.521043478,0.6525,0.555529412,0.661888889
2015-01-04 03:00:00,0.593673913,0.495391304,0.619,0.522882353,0.638222222
2015-01-04 04:00:00,0.586478261,0.469086957,0.5885,0.494529412,0.603222222
2015-01-04 05:00:00,0.658652174,0.430391304,0.7965,0.538764706,0.732111111
2015-01-04 06:00:00,0.737413043,0.541478261,0.8475,0.539470588,0.726
